season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2018,florida-gators,-0.0136,0.2501,-0.183,0.2653,-0.187,0.2804
2018,florida-state-seminoles,-0.0252,0.206,-0.101,0.2121,-0.0845,0.2104
2018,fresno-state-bulldogs,-0.0294,0.1791,-0.0845,0.1694,-0.0887,0.169
2018,georgia-bulldogs,0.1116,0.3717,-0.5805,0.4401,-0.5351,0.4288
2018,georgia-southern-eagles,-0.1443,0.1118,-0.0269,0.1016,-0.0353,0.102
2018,houston-cougars,0.0356,0.1548,-0.0811,0.1098,-0.062,0.1031
2018,iowa-hawkeyes,-0.0473,0.1849,-0.0736,0.1626,-0.0872,0.1654
2018,iowa-state-cyclones,-0.1122,0.1626,-0.0685,0.1577,-0.0898,0.1583
2018,kansas-state-wildcats,-0.1639,0.1784,0.076,0.1588,0.076,0.1588
2018,kentucky-wildcats,0.0167,0.1936,-0.1526,0.1956,-0.136,0.1948
2018,lsu-tigers,0.0155,0.3272,-0.3358,0.3949,-0.3408,0.4087
2018,maryland-terrapins,-0.2434,0.258,-0.054,0.2204,-0.1025,0.2349
2018,memphis-tigers,-0.1362,0.0992,-0.0317,0.1029,-0.0317,0.1029
2018,miami-fl-hurricanes,-0.0158,0.2199,-0.1376,0.235,-0.1321,0.2316
2018,michigan-state-spartans,-0.0831,0.2608,-0.1177,0.2682,-0.1249,0.2722
2018,michigan-wolverines,0.0213,0.2352,-0.2795,0.2744,-0.2454,0.2583
2018,mississippi-state-bulldogs,-0.0574,0.1952,-0.1088,0.1978,-0.1107,0.1978
2018,missouri-tigers,-0.1234,0.1245,-0.0387,0.1143,-0.0748,0.1178
2018,north-carolina-state-wolfpack,-0.0752,0.2019,-0.0866,0.2006,-0.0901,0.1988
2018,northwestern-wildcats,-0.0752,0.1678,-0.0729,0.1529,-0.0999,0.1601
2018,notre-dame-fighting-irish,-0.0153,0.26,-0.522,0.3678,-0.5299,0.3848
2018,ohio-state-buckeyes,0.0071,0.3768,-0.5165,0.4861,-0.5308,0.4993
2018,oklahoma-sooners,-0.0035,0.2566,-0.3822,0.3032,-0.3567,0.3144
2018,oklahoma-state-cowboys,-0.052,0.1763,-0.0873,0.1733,-0.1019,0.1768
2018,ole-miss-rebels,-0.1876,0.1476,0.0043,0.1207,0.0043,0.1207
2018,oregon-ducks,-0.0556,0.2097,-0.1217,0.202,-0.1473,0.2074
2018,penn-state-nittany-lions,-0.0081,0.2337,-0.189,0.2481,-0.1694,0.248
2018,pittsburgh-panthers,-0.1006,0.1029,-0.0395,0.0999,-0.079,0.1058
2018,purdue-boilermakers,-0.0928,0.0709,-0.0224,0.0667,-0.0508,0.0682
2018,san-diego-state-aztecs,-0.1032,0.0699,-0.0243,0.0655,-0.0363,0.0689
2018,south-carolina-gamecocks,-0.1316,0.2038,-0.033,0.1748,-0.0929,0.1823
2018,south-florida-bulls,-0.0763,0.1417,-0.068,0.1327,-0.0909,0.1381
2018,stanford-cardinal,0.0353,0.2586,-0.1959,0.2533,-0.1689,0.2415
